couple_id,person1_age,person2_age,age_difference,relationship_years_before_marriage,education_level,person1_monthly_income,person2_monthly_income,financial_stability_score,communication_score,conflict_frequency_per_month,family_support_score,children_count,compatibility_score,marriage_type,marriage_duration_years
1,24,21,3,4,2,76513,30289,2,9,2,10,3,1,0,21.5
2,40,21,19,8,2,127974,40893,8,10,8,1,1,7,1,23.9
3,29,25,4,3,3,44793,24156,7,2,11,6,4,5,0,16.7
4,33,23,10,8,3,112800,87674,4,2,1,4,2,2,0,13.5
5,24,33,9,4,4,113638,33319,6,6,6,5,0,10,0,21.5
6,35,33,2,4,5,75570,101733,6,1,7,1,2,7,1,19.6
7,23,27,4,5,2,148870,63856,8,3,8,3,1,9,1,22.1
8,39,33,6,5,2,54262,78784,8,2,1,2,1,3,1,16.3
9,40,23,17,6,4,140696,81352,5,9,0,2,4,5,1,25.6
10,35,21,14,4,5,64832,78542,2,5,6,3,2,3,0,16.1
11,40,31,9,7,1,47325,59576,5,4,1,4,4,2,0,18.0
12,38,25,13,2,4,61287,46741,9,10,13,4,4,4,1,16.6
13,33,32,1,7,5,136354,27860,4,4,2,6,0,10,0,25.7
14,22,28,6,1,1,104619,21287,9,4,8,8,1,9,0,21.6
15,39,39,0,7,2,141987,117840,7,4,3,2,3,6,1,20.9
16,22,24,2,0,4,106946,116935,2,4,6,4,4,8,0,22.1
17,34,26,8,4,4,83485,126620,2,8,3,1,4,1,0,21.6
18,26,34,8,7,4,74032,125331,7,1,5,7,0,7,1,19.5
19,35,30,5,6,5,145577,32289,4,5,6,1,4,9,0,23.3
20,39,36,3,8,5,59270,19455,9,2,5,2,4,2,0,19.3
21,33,24,9,3,5,28418,93183,2,7,10,5,1,6,0,17.6
22,30,35,5,5,1,20441,72068,10,10,3,2,4,4,1,26.9
23,25,32,7,1,2,114869,49353,3,8,9,10,4,1,1,19.0
24,25,29,4,1,1,58749,47697,5,10,6,6,1,5,1,20.9
25,29,22,7,1,4,90530,17778,1,6,4,5,1,8,1,18.0
26,25,38,13,0,3,56821,68333,3,1,9,6,0,6,0,12.1
27,28,24,4,5,5,124529,93351,3,4,5,3,3,1,0,15.8
28,34,28,6,4,2,46336,62140,1,8,7,4,3,6,1,17.6
29,28,28,0,0,2,122455,55025,5,2,8,6,4,7,1,20.8
